system,user,assistant
You are a ReliefLink data generation specialist creating synthetic NGO coordination data.,Generate a list of 100 community needs records and 50 volunteer profiles based in Kolkata.,"[{""title"":""Critical flood damage in Dum Dum Park"",""category"":""rescue"",""peopleAffected"":85,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.6022,""longitude"":88.4068,""status"":""open""},{""title"":""Water contamination outbreak near Tangra"",""category"":""water"",""peopleAffected"":420,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":24,""latitude"":22.5448,""longitude"":88.3846,""status"":""open""},{""title"":""Relief kits requested in Barasat"",""category"":""food"",""peopleAffected"":150,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":48,""latitude"":22.6841,""longitude"":88.4839,""status"":""open""},{""title"":""Evacuees needing shelter in Jadavpur"",""category"":""shelter"",""peopleAffected"":60,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":10,""latitude"":22.4834,""longitude"":88.3719,""status"":""open""},{""title"":""Shortage of insulin in North Kolkata"",""category"":""medical"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.5855,""longitude"":88.3614,""status"":""open""},{""name"":""Siddharth Ghosh"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5539,""longitude"":88.3499},{""name"":""Megha Nandi"",""skills"":""coordination"",""availability"":""weekday"",""latitude"":22.5841,""longitude"":88.4239},{""name"":""Vikram Sethi"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.6102,""longitude"":88.3963},{""name"":""Anjali Bose"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.5281,""longitude"":88.3377},{""name"":""Rahul Sen"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.4795,""longitude"":88.3814}]"
You are a disaster-relief NGO data orchestrator for ReliefLink.,Generate a comprehensive set of 100 community needs and 50 volunteer profiles around Kolkata.,"[{""title"": ""Severe flooding in South 24 Parganas village zone"", ""category"": ""rescue"", ""peopleAffected"": 450, ""severityLevel"": 5, ""resourceScarcity"": 5, ""hoursWaiting"": 72, ""latitude"": 22.3121, ""longitude"": 88.3582, ""status"": ""open""}, {""title"": ""Acute drinking water contamination in Dum Dum"", ""category"": ""water"", ""peopleAffected"": 85, ""severityLevel"": 4, ""resourceScarcity"": 3, ""hoursWaiting"": 15, ""latitude"": 22.6231, ""longitude"": 88.4283, ""status"": ""open""}, {""title"": ""Elderly patients trapped at Baranagar elderly home"", ""category"": ""medical"", ""peopleAffected"": 40, ""severityLevel"": 5, ""resourceScarcity"": 4, ""hoursWaiting"": 10, ""latitude"": 22.6425, ""longitude"": 88.3673, ""status"": ""open""}, {""title"": ""Community kitchen breakdown in Behala"", ""category"": ""food"", ""peopleAffected"": 150, ""severityLevel"": 3, ""resourceScarcity"": 2, ""hoursWaiting"": 6, ""latitude"": 22.4831, ""longitude"": 88.3184, ""status"": ""open""}, {""title"": ""Volunteer medic based in Lake Town area"", ""name"": ""Sudipta Sen"", ""skills"": ""medical"", ""availability"": ""anytime"", ""latitude"": 22.6051, ""longitude"": 88.3989}, {""title"": ""Logistics expert in Park Street area"", ""name"": ""Vikram Kapoor"", ""skills"": ""logistics"", ""availability"": ""weekend"", ""latitude"": 22.5539, ""longitude"": 88.3496}]"
You are a disaster relief logistics analyst for ReliefLink.,Provide a set of 5 varied community needs in the Kolkata metropolitan region.,"[{""title"":""Infant formula crisis in Dum Dum"",""category"":""food"",""peopleAffected"":25,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":4,""latitude"":22.6288,""longitude"":88.4237,""status"":""open""},{""title"":""Structural integrity assessment at Beliaghata slums"",""category"":""shelter"",""peopleAffected"":400,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":20,""latitude"":22.5647,""longitude"":88.3971,""status"":""open""},{""title"":""Critical oxygen supply needed at Maheshtala facility"",""category"":""medical"",""peopleAffected"":60,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.4827,""longitude"":88.2618,""status"":""open""},{""title"":""Flood rescue intervention in New Town sector IV"",""category"":""rescue"",""peopleAffected"":15,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":8,""latitude"":22.6074,""longitude"":88.4722,""status"":""open""},{""title"":""Emergency hygiene water supply needed at Baguiati"",""category"":""water"",""peopleAffected"":220,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":16,""latitude"":22.6186,""longitude"":88.4217,""status"":""open""}]"
You are an AI coordination assistant for ReliefLink NGO database.,Register 5 skilled volunteers for deployment in North and South Kolkata.,"[{""name"":""Rahul Sen"",""skills"":""rescue"",""availability"":""weekend"",""latitude"":22.6280,""longitude"":88.3750},{""name"":""Aditi Sengupta"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.4600,""longitude"":88.3800},{""name"":""Vikram Deb"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.5500,""longitude"":88.3500},{""name"":""Sita Das"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.5000,""longitude"":88.3000},{""name"":""Tanmay Basu"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.6500,""longitude"":88.4000}]"
You are a ReliefLink data intake officer for the Kolkata disaster region.,Create 3 need reports and 2 volunteer profiles for Kolkata neighborhoods.,"[{""title"":""Infant formula required in Ballygunge"",""category"":""food"",""peopleAffected"":15,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":2,""latitude"":22.5292,""longitude"":88.3564,""status"":""open""},{""title"":""Structural wall collapse at Shyambazar"",""category"":""rescue"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":1,""latitude"":22.6053,""longitude"":88.3776,""status"":""open""},{""title"":""Acute waterlogging causing health issues in Jadavpur"",""category"":""medical"",""peopleAffected"":85,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":36,""latitude"":22.4855,""longitude"":88.3697,""status"":""open""},{""name"":""Soumyajit Sen"",""skills"":""medical"",""availability"":""anytime"",""latitude"":22.5249,""longitude"":88.3582},{""name"":""Ananya Bose"",""skills"":""logistics"",""availability"":""weekend"",""latitude"":22.6081,""longitude"":88.3712}]"
ReliefLink database processor.,Add emergency needs data for Barasat and volunteer info.,"[{""title"":""Blocked sanitation in Barasat Colony"",""category"":""water"",""peopleAffected"":400,""severityLevel"":3,""resourceScarcity"":3,""hoursWaiting"":48,""latitude"":22.6953,""longitude"":88.4879,""status"":""open""},{""title"":""Elderly needs transport from submerged housing"",""category"":""shelter"",""peopleAffected"":20,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.6841,""longitude"":88.4722,""status"":""open""},{""title"":""Mobile medical van required in Barasat market"",""category"":""medical"",""peopleAffected"":50,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":8,""latitude"":22.6895,""longitude"":88.4754,""status"":""open""},{""name"":""Debasish Das"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.6912,""longitude"":88.4800},{""name"":""Manisha Khatun"",""skills"":""food distribution"",""availability"":""weekday"",""latitude"":22.6800,""longitude"":88.4735}]"
ReliefLink coordination hub.,Input data for Behala flood situation.,"[{""title"":""Urgent shelter needed for displaced laborers"",""category"":""shelter"",""peopleAffected"":450,""severityLevel"":5,""resourceScarcity"":5,""hoursWaiting"":10,""latitude"":22.4800,""longitude"":88.3150,""status"":""open""},{""title"":""Relief kits for Behala slum dwellers"",""category"":""food"",""peopleAffected"":300,""severityLevel"":4,""resourceScarcity"":3,""hoursWaiting"":24,""latitude"":22.4850,""longitude"":88.3100,""status"":""open""},{""title"":""Drainage overflow clean up help"",""category"":""water"",""peopleAffected"":150,""severityLevel"":2,""resourceScarcity"":1,""hoursWaiting"":72,""latitude"":22.4900,""longitude"":88.3200,""status"":""open""},{""name"":""Vikram Singh"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.4812,""longitude"":88.3120},{""name"":""Sreya Roy"",""skills"":""medical"",""availability"":""weekend"",""latitude"":22.4830,""longitude"":88.3145}]"
ReliefLink Data Orchestrator,Create records for Kolkata North-East quadrant needs and volunteer logistics.,"[{""title"":""Dry ration demand at Dum Dum Park"",""category"":""food"",""peopleAffected"":85,""severityLevel"":3,""resourceScarcity"":4,""hoursWaiting"":24,""latitude"":22.6185,""longitude"":88.4061,""status"":""open""},{""title"":""Trapped elderly requiring rescue at Sinthee"",""category"":""rescue"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":2,""latitude"":22.6358,""longitude"":88.3842,""status"":""open""},{""title"":""Acute water scarcity in Lake Town"",""category"":""water"",""peopleAffected"":420,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":36,""latitude"":22.6074,""longitude"":88.4022,""status"":""open""},{""name"":""Soumyajit Paul"",""skills"":""medical"",""availability"":""weekend"",""latitude"":22.6101,""longitude"":88.4101},{""name"":""Riya Ghosh"",""skills"":""coordination"",""availability"":""anytime"",""latitude"":22.6200,""longitude"":88.3900}]"
ReliefLink Data Orchestrator,Create records for South Kolkata area.,"[{""title"":""Inundated basements requiring water pumps"",""category"":""rescue"",""peopleAffected"":50,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":8,""latitude"":22.5179,""longitude"":88.3429,""status"":""open""},{""title"":""Child health nutrition shortage at Kalighat"",""category"":""food"",""peopleAffected"":150,""severityLevel"":5,""resourceScarcity"":4,""hoursWaiting"":10,""latitude"":22.5262,""longitude"":88.3475,""status"":""open""},{""name"":""Vikram Sethi"",""skills"":""rescue"",""availability"":""weekday"",""latitude"":22.5200,""longitude"":88.3500},{""name"":""Ananya Roy"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.5300,""longitude"":88.3450}]"
You are a ReliefLink data processor specializing in Kolkata disaster zones.,"Generate a mix of 100 needs and 50 volunteer entries formatted as a single JSON array of strings, ensuring realistic coordinate bounds (22.3°N–22.7°N, 88.2°E–88.5°E).","[{""title"":""Infant formula needed in Dum Dum"",""category"":""food"",""peopleAffected"":25,""severityLevel"":4,""resourceScarcity"":5,""hoursWaiting"":8,""latitude"":22.6185,""longitude"":88.4239,""status"":""open""},{""title"":""Trapped elderly group at Entally"",""category"":""rescue"",""peopleAffected"":12,""severityLevel"":5,""resourceScarcity"":3,""hoursWaiting"":2,""latitude"":22.5562,""longitude"":88.3751,""status"":""open""},{""title"":""Lack of sterile dressings at Ballygunge camp"",""category"":""medical"",""peopleAffected"":45,""severityLevel"":4,""resourceScarcity"":4,""hoursWaiting"":6,""latitude"":22.5283,""longitude"":88.3582,""status"":""open""},{""title"":""Tanker water request in Barrackpore"",""category"":""water"",""peopleAffected"":400,""severityLevel"":3,""resourceScarcity"":5,""hoursWaiting"":24,""latitude"":22.7550,""longitude"":88.3697,""status"":""open""},{""title"":""Torn tarps needing replacement at Baruipur"",""category"":""shelter"",""peopleAffected"":150,""severityLevel"":3,""resourceScarcity"":2,""hoursWaiting"":36,""latitude"":22.3551,""longitude"":88.4354,""status"":""open""},{""name"":""Vikram Singh"",""skills"":""rescue"",""availability"":""anytime"",""latitude"":22.5552,""longitude"":88.3671},{""name"":""Sita Reddy"",""skills"":""medical"",""availability"":""weekend"",""latitude"":22.5698,""longitude"":88.4005},{""name"":""John Paul"",""skills"":""logistics"",""availability"":""weekday"",""latitude"":22.6022,""longitude"":88.4555},{""name"":""Meena Dutta"",""skills"":""food distribution"",""availability"":""anytime"",""latitude"":22.4871,""longitude"":88.3962},{""name"":""Ritesh Gupta"",""skills"":""coordination"",""availability"":""weekend"",""latitude"":22.5938,""longitude"":88.3789}]"
