latitude,longitude,urgencyScore,totalNeeds
36.0502,69.9436,9,14
32.3937,81.6479,4,37
29.7762,76.5835,9,10
27.4142,88.9138,4,6
20.2067,84.6205,1,21
12.2392,82.1228,6,46
22.6003,70.3134,9,47
21.3953,89.0807,10,44
31.5744,88.843,4,38
27.293,78.3107,4,16
13.3759,68.6632,9,10
20.0445,75.5038,6,34
18.4504,73.1665,1,31
36.5095,94.5729,2,24
16.9305,70.5982,6,3
13.6094,84.7178,3,13
36.7217,79.5372,2,25
31.1504,70.1211,10,24
31.7351,89.5264,9,2
13.4332,72.3433,2,40
18.7684,73.1679,10,49
14.5504,86.568,6,18
8.304,91.2355,7,23
11.991,71.0728,1,9
13.636,95.3998,5,16
32.7852,94.4992,4,39
27.1475,68.4648,5,16
16.5352,89.2688,7,33
35.6397,75.1536,1,24
21.2214,90.7498,6,2
29.512,76.6338,10,19
35.1129,80.8385,5,8
22.9927,71.3158,10,41
29.9721,88.7256,3,17
12.3245,74.1943,4,36
13.8315,72.4397,4,25
21.8136,70.0005,5,43
8.4237,94.5287,1,11
20.2133,90.2589,10,19
15.3702,94.2191,9,23
34.3155,79.9384,5,6
11.3348,83.1682,3,33
8.2755,85.9121,1,10
25.3188,87.9761,4,23
11.9988,88.1392,6,19
28.4037,70.1868,7,47
26.3922,80.0943,5,28
36.2747,68.3215,10,9
36.2122,88.3878,1,38
9.543,89.1092,4,49
24.0067,96.1976,9,3
17.7338,93.5095,3,44
33.6458,69.0503,6,15
15.8314,93.9901,1,32
28.1055,68.2101,7,49
17.4793,83.3971,8,31
34.948,68.5737,1,36
21.3,78.513,8,39
13.941,78.0117,2,5
24.7029,83.4487,3,37
28.5184,88.6234,2,1
30.4613,83.5095,10,35
10.4364,94.2219,3,40
20.4242,68.2105,10,43
35.3228,81.0054,5,3
11.0663,80.9778,6,24
13.379,86.3317,3,29
11.9596,73.4318,8,31
28.359,73.8596,7,50
27.1731,91.1811,1,7
28.9492,70.6734,1,12
